Date,Value
2020-07-02,2.7992043
2020-07-03,2.1184893
2020-07-04,1.6462392
2020-07-05,2.099249
2020-07-06,1.8396937
2020-07-07,1.8396937
2020-07-08,1.8092532
2020-07-09,1.7596976
2020-07-10,1.6637021
2020-07-11,1.4805044
2020-07-12,1.4372743
2020-07-13,1.3482481
2020-07-14,1.3482481
2020-07-15,1.1243438
2020-07-16,1.1634004
2020-07-17,1.1354272
2020-07-18,1.192115
2020-07-19,1.0560302
2020-07-20,0.9823336
2020-07-21,0.9823336
2020-07-22,0.96032476
2020-07-23,0.9803323
2020-07-24,0.9965736
2020-07-25,1.0532612
2020-07-26,1.0233598
2020-07-27,0.928223
2020-07-28,0.9496637
2020-07-29,0.9496637
2020-07-30,1.0139405
2020-07-31,1.0301815
2020-08-01,0.9918928
2020-08-02,0.97265255
2020-08-03,0.89895606
2020-08-04,0.9272358
2020-08-05,0.9272358
2020-08-06,0.9472435
2020-08-07,0.9634848
2020-08-08,1.0010959
2020-08-09,0.9160069
2020-08-10,0.8423102
2020-08-11,0.8423102
2020-08-12,0.8423102
2020-08-13,0.8623181
2020-08-14,0.8785594
2020-08-15,0.9352472
2020-08-16,0.9160069
2020-08-17,0.90296185
2020-08-18,0.90296185
2020-08-19,0.90296185
2020-08-20,0.9229695
2020-08-21,0.9392108
2020-08-22,1.0532612
2020-08-23,1.0340209
2020-08-24,0.96032476
2020-08-25,0.96032476
2020-08-26,0.9496637
2020-08-27,0.96967125
2020-08-28,1.0301815
2020-08-29,1.0868692
2020-08-30,1.067629
2020-08-31,0.928223
2020-09-01,0.89895606
2020-09-02,0.89895606
2020-09-03,0.91896373
2020-09-04,0.9634848
2020-09-05,1.0201727
2020-09-06,1.0009325
2020-09-07,0.9272358
2020-09-08,0.9081589
2020-09-09,0.8423102
2020-09-10,0.8623181
2020-09-11,0.8785594
2020-09-12,0.9352472
2020-09-13,0.9160069
2020-09-14,0.8423102
2020-09-15,0.8423102
2020-09-16,0.8423102
2020-09-17,0.9229695
2020-09-18,0.9392108
2020-09-19,0.99589854
2020-09-20,0.9766583
2020-09-21,0.90296185
2020-09-22,0.96032476
2020-09-23,0.96032476
2020-09-24,0.9803323
2020-09-25,0.9965736
2020-09-26,1.0426
2020-09-27,1.0233598
2020-09-28,0.928223
2020-09-29,0.9496637
