Date,Value
2020-07-02,2.6474354
2020-07-03,2.4998415
2020-07-04,3.5154352
2020-07-05,2.191986
2020-07-06,2.2310288
2020-07-07,2.4394343
2020-07-08,2.1967454
2020-07-09,2.2322946
2020-07-10,1.9323511
2020-07-11,1.4206387
2020-07-12,1.901389
2020-07-13,2.0566561
2020-07-14,1.9312196
2020-07-15,1.3790653
2020-07-16,1.5760432
2020-07-17,1.4626566
2020-07-18,1.6826843
2020-07-19,1.9914361
2020-07-20,1.9366993
2020-07-21,1.662864
2020-07-22,1.5136515
2020-07-23,1.144518
2020-07-24,1.3179755
2020-07-25,1.4448395
2020-07-26,1.1237704
2020-07-27,1.2109408
2020-07-28,1.1478715
2020-07-29,1.2071189
2020-07-30,0.96978354
2020-07-31,1.3274616
2020-08-01,1.4926184
2020-08-02,2.517951
2020-08-03,2.2865174
2020-08-04,2.6911201
2020-08-05,1.8988211
2020-08-06,1.4742384
2020-08-07,1.1398247
2020-08-08,0.81621873
2020-08-09,1.375577
2020-08-10,1.2591136
2020-08-11,1.0972029
2020-08-12,1.1428478
2020-08-13,1.1762395
2020-08-14,1.3855665
2020-08-15,1.3991711
2020-08-16,1.4263625
2020-08-17,1.9782177
2020-08-18,1.4467304
2020-08-19,1.633382
2020-08-20,1.7846924
2020-08-21,1.7027026
2020-08-22,1.5895557
2020-08-23,1.5963546
2020-08-24,1.3919989
2020-08-25,1.4932936
2020-08-26,1.4629819
2020-08-27,1.4182243
2020-08-28,1.5847594
2020-08-29,1.9797422
2020-08-30,1.5947504
2020-08-31,1.9978626
2020-09-01,1.8797487
2020-09-02,2.5114675
2020-09-03,2.7650402
2020-09-04,2.652202
2020-09-05,1.8185965
2020-09-06,1.5817883
2020-09-07,1.3464588
2020-09-08,2.4545524
2020-09-09,2.6528137
2020-09-10,2.393462
2020-09-11,3.15185
2020-09-12,2.3581326
2020-09-13,2.2182724
2020-09-14,2.0326998
2020-09-15,2.3253212
2020-09-16,3.0803366
2020-09-17,3.362661
2020-09-18,3.5010762
2020-09-19,3.0501974
2020-09-20,2.5287626
2020-09-21,2.491088
2020-09-22,2.276178
2020-09-23,1.0469216
2020-09-24,1.3700697
2020-09-25,1.780357
2020-09-26,1.5918763
2020-09-27,1.6356151
2020-09-28,0.78894585
2020-09-29,0.63328516
